id,lab_id,Special dougallii,Colour-ring no.,Colour-ring place (Green left or Green right tarsus),year,date,country,location,First capture (Local) or retrap (R),mass,wing,head,culmen,tarsus,sex,plumage,moult_scores,origin,colony_code,colony_name,date_ringed,hy_ad,age,reporter,colony_inferred,note,recaptured_date,recaptured_place,recaptured_reporter,note
CV83001,S17,,A00,GL,2021,3/28/2021,SN,La Somone,L,96,239,81,,20.5,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83002,S22,,A11,GL,2021,3/28/2021,SN,La Somone,L,93,236,79.9,,20.8,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83003,S23,,A14,GL,2021,3/28/2021,SN,La Somone,L,98,229,73.8,,19.8,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83004,S25,,A22,GL,2021,3/28/2021,SN,La Somone,L,91,231,75.7,,20.1,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83005,S27,,A28,GL,2021,3/28/2021,SN,La Somone,L,93,244,80.4,,20.7,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83006,S18,,A01,GL,2021,3/29/2021,SN,La Somone,L,113,243,78.9,,21.3,F,ad summer ,5555555888,,,,,,,,AZ,,28/06/2021,"Praia Islet colony, Graciosa, Azores (Portugal)",Veronica Neves,
CV83007,S19,,A02,GL,2021,3/29/2021,SN,La Somone,L,98,235,79.3,,20.7,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83008,S21,,A09,GL,2021,3/29/2021,SN,La Somone,L,99,240,76.4,,21.2,F,ad summer ,5555555488,,,,,,,,unknown,,,,,
CV83009,S20,,A07,GL,2021,3/29/2021,SN,La Somone,L,94,235,77.6,,19.9,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83010,S28,,A32,GL,2021,3/29/2021,SN,La Somone,L,97,236,78,,20.1,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83011,S24,,A20,GL,2021,3/29/2021,SN,La Somone,L,91,234,80.2,,20.1,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
ST22635,S04,Right : CD/35,,,2021,3/29/2021,SN,La Somone,R,96,237,76.7,,20.8,F,ad summer ,5555554888,Ireland,ROC,Rockabill,23/07/2013,HY,8,Steve Newton,ROC,,,,,
CV83012,S43,,B21,GL,2021,3/30/2021,SN,La Somone,L,103,237,81.2,,20.8,M,ad summer ,5555588888,,,,,,,,unknown,,,,,
CV83013,S56,,B84,GL,2021,3/30/2021,SN,La Somone,L,101,233,77.5,,20.6,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83014,S36,,A78,GL,2021,3/30/2021,SN,La Somone,L,98,236,80.6,,21.6,M,ad summer ,5555888888,,,,,,,,unknown,,,,,
CV83015,S38,,A85,GL,2021,3/30/2021,SN,La Somone,L,111,236,80.2,,21.8,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83016,S37,,A83,GL,2021,3/30/2021,SN,La Somone,L,100,233,76.6,,21,F,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83017,S35,,A77,GL,2021,3/30/2021,SN,La Somone,L,100,231,78.1,,21.3,F,ad summer ,5555555888,,,,,,,,AZ,,7/6/2021,"Praia Islet colony, Graciosa, Azores (Portugal)",Alba Villaroya,
CV83018,S33,,A70,GL,2021,3/31/2021,SN,La Somone,L,93,233,76.7,,20.6,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83019,S32,,A64,GL,2021,3/31/2021,SN,La Somone,L,97,236,77.2,,20.8,F,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83020,S30,,A48,GL,2021,3/31/2021,SN,La Somone,L,100,241,79.7,,20.9,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83022,S41,,A97,GL,2021,4/1/2021,SN,La Somone,L,130,241,81.8,,21.5,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83023,S42,,B11,GL,2021,4/1/2021,SN,La Somone,L,89,229,76.6,,21.5,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83049,S50,,B39,GL,2021,4/1/2021,SN,La Somone,L,95,239,77.6,,,F,ad summer ,5555555888,,,,,,,,LIL,,2/5/2021,"Inish Island colony, Lady's Island Lake (Ireland)",David Daly,
CV83063,S52,,B42,GL,2021,4/2/2021,SN,La Somone,L,102,222,81.2,,21.7,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83073,S48,,B35,GL,2021,4/2/2021,SN,La Somone,L,97,234,78.8,,19.7,F,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83076,S53,,B50,GL,2021,4/2/2021,SN,La Somone,L,96,235,75.9,,20.1,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83077,S54,,B53,GL,2021,4/2/2021,SN,La Somone,L,90,237,76.9,,19.9,F,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83080,S45,,B29,GL,2021,4/2/2021,SN,La Somone,L,89,230,75.6,,20.5,F,ad summer ,5555558888,,,,,,,,AZ,,27/04/2023,"Santo Antonio colony, Pico, Azores (Portugal)",Olivier Coucelos,Photo available
CV83081,S57,,B87,GL,2021,4/2/2021,SN,La Somone,L,104,238,81,,20.6,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83082,S51,,B40,GL,2021,4/2/2021,SN,La Somone,L,104,237,80.6,,21.3,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83097,S46,,B31,GL,2021,4/3/2021,SN,La Somone,L,103,233,75.5,,20.6,F,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83163,S01,Right : 75/CR,,,2021,4/6/2021,SN,La Somone,R,103,233,79.6,,21.3,M,ad summer ,5555555888,Ireland,ROC,Rockabill,6/7/2014,HY,7,Steve Newton,ROC,Safring placed (no national ring),,,,
M27925,S05,Left : M2/25,,,2021,4/6/2021,SN,La Somone,R,94,235,74.5,,19.5,F,ad summer ,5555588888,France,BR,"Enez Moelez / île aux Moutons, Brittany",21/06/2017,HY,4,Bernard Cadiou,BR,,,,,
CV83172,S47,,B33,GL,2021,4/7/2021,SN,La Somone,L,131,238,81.1,,21.8,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83190,S44,,B28,GL,2021,4/7/2021,SN,La Somone,L,101,234,80.1,,21.6,M,ad summer ,5555555848,,,,,,,,unknown,,,,,
SR07133,S06,Right : 33/S2,,,2021,4/7/2021,SN,La Somone,R,103,228,77.9,,20.1,F,ad summer ,5555555888,Ireland,ROC,Rockabill,5/7/2004,HY,17,Steve Newton,ROC,,,,,
